,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,SR
1,09-01-2000,Pakistan,Brisbane Cricket Ground,Yes,b Abdul Razzaq,2,4,50,,2,2,50
2,12-01-2000,India,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,2,2,50
3,14-01-2000,India,Sydney Cricket Ground,Yes,did not bat,-,-,-,,2,2,50
4,16-01-2000,Pakistan,Melbourne Cricket Ground,No,did not bat,-,-,-,,2,2,50
5,23-01-2000,Pakistan,Melbourne Cricket Ground,Yes,st Moin Khan b Saqlain Mushtaq,1,2,50,,3,1.5,50
6,26-01-2000,India,Adelaide Oval,Yes,did not bat,-,-,-,,3,1.5,50
7,30-01-2000,India,WACA Ground,No,did not bat,-,-,-,,3,1.5,50
8,02-02-2000,Pakistan,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,3,1.5,50
9,04-02-2000,Pakistan,Sydney Cricket Ground,Yes,did not bat,-,-,-,,3,1.5,50
10,17-02-2000,New Zealand,Westpac Stadium,Yes,did not bat,-,-,-,,3,1.5,50
11,19-02-2000,New Zealand,Eden Park,Yes,did not bat,-,-,-,,3,1.5,50
12,23-02-2000,New Zealand,Carisbrook,Yes,did not bat,-,-,-,,3,1.5,50
13,26-02-2000,New Zealand,AMI Stadium,Yes,did not bat,-,-,-,,3,1.5,50
14,03-03-2000,New Zealand,Eden Park,Yes,c S P Fleming b P J Wiseman,3,7,42.86,,6,2,46.15
15,12-04-2000,South Africa,Kingsmead,Yes,not out,24*,29,82.76,,30,10,71.43
16,14-04-2000,South Africa,Newlands,Yes,did not bat,-,-,-,,30,10,71.43
17,16-04-2000,South Africa,Wanderers Stadium,No,b S M Pollock,1,5,20,,31,7.75,65.96
18,16-08-2000,South Africa,Etihad Stadium,Yes,did not bat,-,-,-,,31,7.75,65.96
19,20-08-2000,South Africa,Etihad Stadium,No,not out,6*,10,60,,37,9.25,64.91
20,07-10-2000,India,Gymkhana Club Ground,No,c S C Ganguly b A B Agarkar,31,28,110.71,,68,13.6,80
21,14-01-2001,West Indies,Brisbane Cricket Ground,Yes,did not bat,-,-,-,,68,13.6,80
22,21-01-2001,Zimbabwe,Melbourne Cricket Ground,No,did not bat,-,-,-,,68,13.6,80
23,26-01-2001,West Indies,Adelaide Oval,Yes,did not bat,-,-,-,,68,13.6,80
24,04-02-2001,Zimbabwe,WACA Ground,No,b H H Streak,2,5,40,,70,11.67,77.78
25,09-06-2001,Pakistan,Sophia Gardens,No,did not bat,-,-,-,,70,11.67,77.78
26,10-06-2001,England,County Ground (Bristol),No,did not bat,-,-,-,,70,11.67,77.78
27,19-06-2001,Pakistan,Trent Bridge,Yes,b Waqar Younis,10,18,55.56,,80,11.43,74.07
28,21-06-2001,England,Kennington Oval,No,did not bat,-,-,-,,80,11.43,74.07
29,23-06-2001,Pakistan,Lord's,No,did not bat,-,-,-,,80,11.43,74.07
30,11-01-2002,New Zealand,Melbourne Cricket Ground,Yes,b C L Cairns,0,5,0,,80,10,70.8
31,13-01-2002,South Africa,Melbourne Cricket Ground,Yes,c J N Rhodes b A A Donald,0,4,0,,80,8.89,68.38
32,17-01-2002,New Zealand,Sydney Cricket Ground,Yes,lbw b J E C Franklin,1,4,25,,81,8.1,66.94
33,29-01-2002,New Zealand,Melbourne Cricket Ground,Yes,c N J Astle b S E Bond,27,29,93.1,,108,9.82,72
34,03-02-2002,South Africa,WACA Ground,No,not out,51*,36,141.67,,159,14.45,85.48
35,27-03-2002,South Africa,Senwes Park,No,c †M V Boucher b M Ntini,8,9,88.89,,167,13.92,85.64
36,30-03-2002,South Africa,Mangaung Oval,No,not out,8*,4,200,,175,14.58,87.94
37,03-04-2002,South Africa,Kingsmead,Yes,did not bat,-,-,-,,175,14.58,87.94
38,09-04-2002,South Africa,Newlands,Yes,b N Boje,28,28,100,,203,15.62,89.43
39,15-06-2002,Pakistan,Etihad Stadium,Yes,not out,3*,6,50,,206,15.85,88.41
40,02-09-2002,Kenya,Gymkhana Club Ground,No,did not bat,-,-,-,,206,15.85,88.41
41,04-09-2002,Pakistan,Gymkhana Club Ground,No,did not bat,-,-,-,,206,15.85,88.41
42,05-09-2002,Kenya,Gymkhana Club Ground,No,not out,6*,4,150,,212,16.31,89.45
43,07-09-2002,Pakistan,Gymkhana Club Ground,No,did not bat,-,-,-,,212,16.31,89.45
44,15-09-2002,New Zealand,Sinhalese Sports Club Ground,No,not out,4*,3,133.33,,216,16.62,90
