,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,09-12-1993,South Africa,Melbourne Cricket Ground,Yes,b P S De Villiers,0,1,0,,0,0,0
2,12-12-1993,New Zealand,Adelaide Oval,No,did not bat,-,-,-,,0,0,0
3,14-12-1993,South Africa,Sydney Cricket Ground,Yes,did not bat,-,-,-,,0,0,0
4,09-01-1994,South Africa,Brisbane Cricket Ground,No,did not bat,-,-,-,,0,0,0
5,11-01-1994,New Zealand,Sydney Cricket Ground,Yes,b C Pringle,4,6,66.67,,4,2,57.14
6,16-01-1994,South Africa,WACA Ground,No,lbw b R P Snell,4,8,50,,8,2.67,53.33
7,19-01-1994,New Zealand,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,8,2.67,53.33
8,21-01-1994,South Africa,Melbourne Cricket Ground,Yes,not out,5*,3,166.67,,13,4.33,72.22
9,19-02-1994,South Africa,Wanderers Stadium,No,did not bat,-,-,-,,13,4.33,72.22
10,20-02-1994,South Africa,SuperSport Park,No,not out,0*,0,-,,13,4.33,72.22
11,22-02-1994,South Africa,St George's Park,No,did not bat,-,-,-,,13,4.33,72.22
12,24-02-1994,South Africa,Kingsmead,No,c †D J Richardson b W J Cronje,0,9,0,,13,3.25,48.15
13,02-04-1994,South Africa,Buffalo Park,Yes,did not bat,-,-,-,,13,3.25,48.15
14,04-04-1994,South Africa,St George's Park,Yes,not out,0*,0,-,,13,3.25,48.15
15,06-04-1994,South Africa,Newlands,Yes,did not bat,-,-,-,,13,3.25,48.15
16,08-04-1994,South Africa,Mangaung Oval,Yes,did not bat,-,-,-,,13,3.25,48.15
17,16-04-1994,New Zealand,Sharjah Cricket Stadium,No,did not bat,-,-,-,,13,3.25,48.15
18,19-04-1994,India,Sharjah Cricket Stadium,No,not out,0*,1,0,,13,3.25,46.43
19,07-09-1994,Pakistan,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,13,3.25,46.43
20,09-09-1994,India,R Premadasa Stadium,Yes,run out,1,2,50,,14,2.8,46.67
21,18-10-1994,South Africa,Iqbal Stadium,No,did not bat,-,-,-,,14,2.8,46.67
22,22-10-1994,Pakistan,Rawalpindi Cricket Stadium,No,did not bat,-,-,-,,14,2.8,46.67
23,24-10-1994,South Africa,Arbab Niaz Stadium,No,did not bat,-,-,-,,14,2.8,46.67
24,30-10-1994,Pakistan,Gaddafi Stadium,No,did not bat,-,-,-,,14,2.8,46.67
25,02-12-1994,Zimbabwe,WACA Ground,Yes,did not bat,-,-,-,,14,2.8,46.67
26,06-12-1994,England,Sydney Cricket Ground,Yes,did not bat,-,-,-,,14,2.8,46.67
27,08-12-1994,Zimbabwe,Bellerive Oval,No,did not bat,-,-,-,,14,2.8,46.67
28,10-01-1995,England,Melbourne Cricket Ground,Yes,b P A J De Freitas,10,12,83.33,,24,4,57.14
29,15-02-1995,South Africa,Basin Reserve,No,did not bat,-,-,-,,24,4,57.14
30,19-02-1995,New Zealand,Eden Park,No,did not bat,-,-,-,,24,4,57.14
31,22-02-1995,India,Carisbrook,No,did not bat,-,-,-,,24,4,57.14
32,26-02-1995,New Zealand,Eden Park,No,did not bat,-,-,-,,24,4,57.14
33,11-03-1995,West Indies,Queen's Park Oval,No,did not bat,-,-,-,,24,4,57.14
34,12-03-1995,West Indies,Queen's Park Oval,No,b P V Simmons,0,3,0,,24,3.43,53.33
35,15-03-1995,West Indies,Arnos Vale Ground,No,not out,1*,1,100,,25,3.57,54.35
36,18-03-1995,West Indies,Bourda,No,did not bat,-,-,-,,25,3.57,54.35
37,17-12-1995,West Indies,Adelaide Oval,No,did not bat,-,-,-,,25,3.57,54.35
38,21-12-1995,Sri Lanka,Sydney Cricket Ground,Yes,did not bat,-,-,-,,25,3.57,54.35
39,01-01-1996,West Indies,Sydney Cricket Ground,Yes,not out,1*,1,100,,26,3.71,55.32
40,07-01-1996,West Indies,Brisbane Cricket Ground,No,not out,0*,0,-,,26,3.71,55.32
41,12-01-1996,Sri Lanka,WACA Ground,Yes,did not bat,-,-,-,,26,3.71,55.32
42,16-01-1996,Sri Lanka,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,26,3.71,55.32
43,18-01-1996,Sri Lanka,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,26,3.71,55.32
44,20-01-1996,Sri Lanka,Sydney Cricket Ground,Yes,did not bat,-,-,-,,26,3.71,55.32
45,23-02-1996,Kenya,Indira Priyadarshini Stadium,No,did not bat,-,-,-,,26,3.71,55.32
46,27-02-1996,India,Wankhede Stadium,Yes,not out,0*,0,-,,26,3.71,55.32
47,01-03-1996,Zimbabwe,Vidarbha Cricket Association Ground,No,did not bat,-,-,-,,26,3.71,55.32
48,04-03-1996,West Indies,Sawai Mansingh Stadium,No,did not bat,-,-,-,,26,3.71,55.32
49,11-03-1996,New Zealand,MA Chidambaram Stadium,Yes,did not bat,-,-,-,,26,3.71,55.32
50,14-03-1996,West Indies,Punjab Cricket Association IS Bindra Stadium,Yes,did not bat,-,-,-,,26,3.71,55.32
51,17-03-1996,Sri Lanka,Gaddafi Stadium,Yes,did not bat,-,-,-,,26,3.71,55.32
52,26-08-1996,Zimbabwe,R Premadasa Stadium,Yes,did not bat,-,-,-,,26,3.71,55.32
53,30-08-1996,Sri Lanka,R Premadasa Stadium,Yes,not out,8*,12,66.67,,34,4.86,57.63
54,06-09-1996,India,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,34,4.86,57.63
55,07-09-1996,Sri Lanka,R Premadasa Stadium,No,c R S Mahanama b U D U Chandana,0,3,0,,34,4.25,54.84
56,19-10-1996,South Africa,Nehru Stadium (Indore),No,did not bat,-,-,-,,34,4.25,54.84
57,21-10-1996,India,M Chinnaswamy Stadium,Yes,did not bat,-,-,-,,34,4.25,54.84
58,25-10-1996,South Africa,Nahar Singh Stadium,No,c W J Cronje b A A Donald,1,5,20,,35,3.89,52.24
59,01-11-1996,South Africa,Nehru Stadium (Guwahati),No,did not bat,-,-,-,,35,3.89,52.24
60,03-11-1996,India,Punjab Cricket Association IS Bindra Stadium,Yes,not out,8*,4,200,,43,4.78,60.56
61,08-12-1996,West Indies,Sydney Cricket Ground,Yes,did not bat,-,-,-,,43,4.78,60.56
62,15-12-1996,Pakistan,Adelaide Oval,No,not out,0*,0,-,,43,4.78,60.56
63,01-01-1997,Pakistan,Sydney Cricket Ground,Yes,c Aamir Sohail b Saqlain Mushtaq,1,4,25,,44,4.4,58.67
64,07-01-1997,Pakistan,Bellerive Oval,No,not out,0*,2,0,,44,4.4,57.14
65,12-01-1997,West Indies,WACA Ground,No,did not bat,-,-,-,,44,4.4,57.14
66,16-01-1997,Pakistan,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,44,4.4,57.14
67,22-05-1997,England,Headingley,No,did not bat,-,-,-,,44,4.4,57.14
68,24-05-1997,England,Kennington Oval,No,did not bat,-,-,-,,44,4.4,57.14
69,25-05-1997,England,Lord's,No,st A J Stewart b A J Hollioake,1,5,20,,45,4.09,54.88
70,04-12-1997,South Africa,Sydney Cricket Ground,Yes,not out,0*,0,-,,45,4.09,54.88
71,07-12-1997,New Zealand,Adelaide Oval,Yes,did not bat,-,-,-,,45,4.09,54.88
72,06-11-1998,Pakistan,National Stadium (Karachi),No,did not bat,-,-,-,,45,4.09,54.88
73,08-11-1998,Pakistan,Arbab Niaz Stadium,No,did not bat,-,-,-,,45,4.09,54.88
74,10-11-1998,Pakistan,Gaddafi Stadium,No,did not bat,-,-,-,,45,4.09,54.88
75,10-01-1999,England,Brisbane Cricket Ground,Yes,not out,1*,1,100,,46,4.18,55.42
76,13-01-1999,Sri Lanka,Sydney Cricket Ground,Yes,did not bat,-,-,-,,46,4.18,55.42
77,15-01-1999,England,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,46,4.18,55.42
78,17-01-1999,England,Sydney Cricket Ground,Yes,did not bat,-,-,-,,46,4.18,55.42
79,21-01-1999,Sri Lanka,Bellerive Oval,No,not out,1*,2,50,,47,4.27,55.29
80,24-01-1999,Sri Lanka,Adelaide Oval,Yes,c R S Mahanama b W P U J C Vaas,2,5,40,,49,4.08,54.44
81,26-01-1999,England,Adelaide Oval,Yes,did not bat,-,-,-,,49,4.08,54.44
82,31-01-1999,Sri Lanka,WACA Ground,No,did not bat,-,-,-,,49,4.08,54.44
83,07-02-1999,Sri Lanka,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,49,4.08,54.44
84,10-02-1999,England,Sydney Cricket Ground,Yes,did not bat,-,-,-,,49,4.08,54.44
85,13-02-1999,England,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,49,4.08,54.44
86,17-04-1999,West Indies,Queen's Park Oval,No,did not bat,-,-,-,,49,4.08,54.44
87,16-05-1999,Scotland,New Road,No,did not bat,-,-,-,,49,4.08,54.44
88,20-05-1999,New Zealand,Sophia Gardens,No,did not bat,-,-,-,,49,4.08,54.44
89,23-05-1999,Pakistan,Headingley,No,b Wasim Akram,0,2,0,,49,3.77,53.26
90,27-05-1999,Bangladesh,Riverside Ground,No,did not bat,-,-,-,,49,3.77,53.26
91,30-05-1999,West Indies,Old Trafford,No,did not bat,-,-,-,,49,3.77,53.26
92,04-06-1999,India,Kennington Oval,No,did not bat,-,-,-,,49,3.77,53.26
93,09-06-1999,Zimbabwe,Lord's,No,did not bat,-,-,-,,49,3.77,53.26
94,13-06-1999,South Africa,Headingley,No,did not bat,-,-,-,,49,3.77,53.26
95,17-06-1999,South Africa,Edgbaston,No,not out,0*,1,0,,49,3.77,52.69
96,20-06-1999,Pakistan,Lord's,No,did not bat,-,-,-,,49,3.77,52.69
97,26-08-1999,Sri Lanka,R Premadasa Stadium,Yes,not out,2*,3,66.67,,51,3.92,53.13
98,28-08-1999,India,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,51,3.92,53.13
99,31-08-1999,Sri Lanka,R Premadasa Stadium,Yes,st R S Kaluwitharana b S T Jayasuriya,1,3,33.33,,52,3.71,52.53
100,21-10-1999,Zimbabwe,Queens Sports Club,No,did not bat,-,-,-,,52,3.71,52.53
101,24-10-1999,Zimbabwe,Harare Sports Club,No,did not bat,-,-,-,,52,3.71,52.53
102,09-01-2000,Pakistan,Brisbane Cricket Ground,Yes,run out,0,5,0,,52,3.47,50
103,12-01-2000,India,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,52,3.47,50
104,14-01-2000,India,Sydney Cricket Ground,Yes,did not bat,-,-,-,,52,3.47,50
105,16-01-2000,Pakistan,Melbourne Cricket Ground,No,did not bat,-,-,-,,52,3.47,50
106,19-01-2000,Pakistan,Sydney Cricket Ground,Yes,not out,0*,0,-,,52,3.47,50
107,26-01-2000,India,Adelaide Oval,Yes,did not bat,-,-,-,,52,3.47,50
108,30-01-2000,India,WACA Ground,No,did not bat,-,-,-,,52,3.47,50
109,02-02-2000,Pakistan,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,52,3.47,50
110,04-02-2000,Pakistan,Sydney Cricket Ground,Yes,did not bat,-,-,-,,52,3.47,50
111,17-02-2000,New Zealand,Westpac Stadium,Yes,did not bat,-,-,-,,52,3.47,50
112,19-02-2000,New Zealand,Eden Park,Yes,did not bat,-,-,-,,52,3.47,50
113,23-02-2000,New Zealand,Carisbrook,Yes,did not bat,-,-,-,,52,3.47,50
114,01-03-2000,New Zealand,McLean Park,Yes,did not bat,-,-,-,,52,3.47,50
115,03-03-2000,New Zealand,Eden Park,Yes,c †C J Nevin b S B Styris,11,24,45.83,,63,3.94,49.22
116,12-04-2000,South Africa,Kingsmead,Yes,did not bat,-,-,-,,63,3.94,49.22
117,14-04-2000,South Africa,Newlands,Yes,did not bat,-,-,-,,63,3.94,49.22
118,16-04-2000,South Africa,Wanderers Stadium,No,not out,0*,0,-,,63,3.94,49.22
119,16-08-2000,South Africa,Etihad Stadium,Yes,did not bat,-,-,-,,63,3.94,49.22
120,18-08-2000,South Africa,Etihad Stadium,Yes,not out,0*,0,-,,63,3.94,49.22
121,20-08-2000,South Africa,Etihad Stadium,No,not out,0*,1,0,,63,3.94,48.84
122,07-10-2000,India,Gymkhana Club Ground,No,not out,6*,8,75,,69,4.31,50.36
123,11-01-2001,West Indies,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,69,4.31,50.36
124,14-01-2001,West Indies,Brisbane Cricket Ground,Yes,did not bat,-,-,-,,69,4.31,50.36
125,17-01-2001,West Indies,Sydney Cricket Ground,No,did not bat,-,-,-,,69,4.31,50.36
126,28-01-2001,Zimbabwe,Sydney Cricket Ground,Yes,did not bat,-,-,-,,69,4.31,50.36
127,30-01-2001,Zimbabwe,Bellerive Oval,No,did not bat,-,-,-,,69,4.31,50.36
128,04-02-2001,Zimbabwe,WACA Ground,No,did not bat,-,-,-,,69,4.31,50.36
129,07-02-2001,West Indies,Sydney Cricket Ground,Yes,not out,1*,1,100,,70,4.38,50.72
130,09-02-2001,West Indies,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,70,4.38,50.72
131,25-03-2001,India,M Chinnaswamy Stadium,Yes,lbw b J Srinath,0,2,0,,70,4.12,50
132,28-03-2001,India,Nehru Stadium (Pune),No,did not bat,-,-,-,,70,4.12,50
133,31-03-2001,India,Nehru Stadium (Indore),No,not out,0*,1,0,,70,4.12,49.65
134,03-04-2001,India,Indira Priyadarshini Stadium,No,did not bat,-,-,-,,70,4.12,49.65
135,06-04-2001,India,Nehru Stadium (Margao),No,did not bat,-,-,-,,70,4.12,49.65
136,09-06-2001,Pakistan,Sophia Gardens,No,did not bat,-,-,-,,70,4.12,49.65
137,10-06-2001,England,County Ground (Bristol),No,did not bat,-,-,-,,70,4.12,49.65
138,14-06-2001,England,Old Trafford,Yes,did not bat,-,-,-,,70,4.12,49.65
139,21-06-2001,England,Kennington Oval,No,did not bat,-,-,-,,70,4.12,49.65
140,23-06-2001,Pakistan,Lord's,No,did not bat,-,-,-,,70,4.12,49.65
141,11-01-2002,New Zealand,Melbourne Cricket Ground,Yes,c †A C Parore b D L Vettori,7,12,58.33,,77,4.28,50.33
142,17-01-2002,New Zealand,Sydney Cricket Ground,Yes,c L Vincent b C Z Harris,1,3,33.33,,78,4.11,50
143,20-01-2002,South Africa,Brisbane Cricket Ground,Yes,did not bat,-,-,-,,78,4.11,50
144,22-01-2002,South Africa,Sydney Cricket Ground,No,did not bat,-,-,-,,78,4.11,50
145,26-01-2002,New Zealand,Adelaide Oval,Yes,not out,6*,13,46.15,,84,4.42,49.7
146,29-01-2002,New Zealand,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,84,4.42,49.7
147,03-02-2002,South Africa,WACA Ground,No,did not bat,-,-,-,,84,4.42,49.7
148,22-03-2002,South Africa,Wanderers Stadium,No,did not bat,-,-,-,,84,4.42,49.7
149,24-03-2002,South Africa,SuperSport Park,No,did not bat,-,-,-,,84,4.42,49.7
150,30-03-2002,South Africa,Mangaung Oval,No,did not bat,-,-,-,,84,4.42,49.7
151,03-04-2002,South Africa,Kingsmead,Yes,did not bat,-,-,-,,84,4.42,49.7
152,06-04-2002,South Africa,St George's Park,No,did not bat,-,-,-,,84,4.42,49.7
153,09-04-2002,South Africa,Newlands,Yes,st M V Boucher b N Boje,0,2,0,,84,4.2,49.12
154,12-06-2002,Pakistan,Etihad Stadium,Yes,did not bat,-,-,-,,84,4.2,49.12
155,15-06-2002,Pakistan,Etihad Stadium,Yes,run out,1,1,100,,85,4.05,49.42
156,19-06-2002,Pakistan,Brisbane Cricket Ground,Yes,c †Rashid Latif b Waqar Younis,3,10,30,,88,4,48.35
157,30-08-2002,Pakistan,Gymkhana Club Ground,No,did not bat,-,-,-,,88,4,48.35
158,02-09-2002,Kenya,Gymkhana Club Ground,No,did not bat,-,-,-,,88,4,48.35
159,04-09-2002,Pakistan,Gymkhana Club Ground,No,did not bat,-,-,-,,88,4,48.35
160,07-09-2002,Pakistan,Gymkhana Club Ground,No,did not bat,-,-,-,,88,4,48.35
161,15-09-2002,New Zealand,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,88,4,48.35
162,19-09-2002,Bangladesh,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,88,4,48.35
163,27-09-2002,Sri Lanka,R Premadasa Stadium,Yes,b M Muralitharan,0,1,0,,88,3.83,48.09
164,13-12-2002,England,Sydney Cricket Ground,Yes,did not bat,-,-,-,,88,3.83,48.09
165,15-12-2002,England,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,88,3.83,48.09
166,22-12-2002,Sri Lanka,WACA Ground,Yes,did not bat,-,-,-,,88,3.83,48.09
167,11-01-2003,England,Bellerive Oval,No,did not bat,-,-,-,,88,3.83,48.09
168,15-01-2003,Sri Lanka,Brisbane Cricket Ground,Yes,did not bat,-,-,-,,88,3.83,48.09
169,11-02-2003,Pakistan,Wanderers Stadium,No,did not bat,-,-,-,,88,3.83,48.09
170,15-02-2003,India,SuperSport Park,No,did not bat,-,-,-,,88,3.83,48.09
171,20-02-2003,Netherlands,Senwes Park,No,did not bat,-,-,-,,88,3.83,48.09
172,24-02-2003,Zimbabwe,Queens Sports Club,No,did not bat,-,-,-,,88,3.83,48.09
173,27-02-2003,Namibia,Senwes Park,No,did not bat,-,-,-,,88,3.83,48.09
174,02-03-2003,England,St George's Park,No,did not bat,-,-,-,,88,3.83,48.09
175,07-03-2003,Sri Lanka,SuperSport Park,No,did not bat,-,-,-,,88,3.83,48.09
176,11-03-2003,New Zealand,St George's Park,No,not out,3*,2,150,,91,3.96,49.19
177,15-03-2003,Kenya,Kingsmead,Yes,did not bat,-,-,-,,91,3.96,49.19
178,18-03-2003,Sri Lanka,St George's Park,No,did not bat,-,-,-,,91,3.96,49.19
