,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,01-04-1999,Pakistan,Punjab Cricket Association IS Bindra Stadium,Yes,lbw b Shoaib Akhtar,1,2,50,,1,1,50
2,11-12-2000,Zimbabwe,Green Park,No,did not bat,-,-,-,,1,1,50
3,14-12-2000,Zimbabwe,Madhavrao Scindia Cricket Ground,No,c †A Flower b B A Murphy,19,24,79.17,,20,10,76.92
4,25-03-2001,Australia,M Chinnaswamy Stadium,Yes,b D W Fleming,58,54,107.41,,78,26,97.5
5,24-06-2001,Zimbabwe,Harare Sports Club,No,did not bat,-,-,-,,78,26,97.5
6,27-06-2001,Zimbabwe,Queens Sports Club,No,c D D Ebrahim b G W Flower,2,7,28.57,,80,20,91.95
7,30-06-2001,West Indies,Queens Sports Club,No,not out,11*,16,68.75,,91,22.75,88.35
8,04-07-2001,West Indies,Harare Sports Club,No,st R D Jacobs b C L Hooper,4,9,44.44,,95,19,84.82
9,07-07-2001,West Indies,Harare Sports Club,No,c sub b M V Dillon,2,7,28.57,,97,16.17,81.51
10,20-07-2001,New Zealand,R Premadasa Stadium,Yes,c C Z Harris b D J Nash,0,3,0,,97,13.86,79.51
11,22-07-2001,Sri Lanka,R Premadasa Stadium,Yes,c S A Perera b M Muralitharan,12,14,85.71,,109,13.63,80.15
12,26-07-2001,New Zealand,R Premadasa Stadium,No,run out,33,54,61.11,,142,15.78,74.74
13,28-07-2001,Sri Lanka,R Premadasa Stadium,No,c K C Sangakkara b H D P K Dharmasena,27,41,65.85,,169,16.9,73.16
14,01-08-2001,Sri Lanka,Sinhalese Sports Club Ground,No,lbw b W P U J C Vaas,0,1,0,,169,15.36,72.84
15,02-08-2001,New Zealand,Sinhalese Sports Club Ground,No,b C D McMillan,100,70,142.86,,269,22.42,89.07
16,05-08-2001,Sri Lanka,R Premadasa Stadium,Yes,run out,4,4,100,,273,21,89.22
17,05-10-2001,South Africa,Wanderers Stadium,Yes,c H H Gibbs b S M Pollock,5,5,100,,278,19.86,89.39
18,10-10-2001,South Africa,SuperSport Park,Yes,c M Ntini b A Nel,33,27,122.22,,311,20.73,92.01
19,12-10-2001,Kenya,Mangaung Oval,Yes,not out,55*,43,127.91,,366,24.4,96.06
20,19-10-2001,South Africa,Buffalo Park,Yes,c N Boje b L Klusener,4,5,80,,370,23.13,95.85
21,24-10-2001,Kenya,Boland Park,Yes,not out,55*,23,239.13,,425,26.56,103.91
22,26-10-2001,South Africa,Kingsmead,Yes,c M Hayward b M Ntini,34,58,58.62,,459,27,98.29
23,19-01-2002,England,Eden Gardens,Yes,b M J Hoggard,29,37,78.38,,488,27.11,96.83
24,22-01-2002,England,Barabati Stadium,No,c N V Knight b D Gough,5,10,50,,493,25.95,95.91
25,25-01-2002,England,MA Chidambaram Stadium,Yes,c M E Trescothick b J N Snape,51,58,87.93,,544,27.2,95.1
26,28-01-2002,England,Green Park,No,c M J Hoggard b P D Collingwood,82,62,132.26,,626,29.81,98.74
27,31-01-2002,England,Arun Jaitley Stadium,No,c N V Knight b D Gough,42,36,116.67,,668,30.36,99.7
28,03-02-2002,England,Wankhede Stadium,Yes,c G P Thorpe b A R Caddick,31,29,106.9,,699,30.39,100
29,29-05-2002,West Indies,Kensington Oval,No,c R R Sarwan b M V Dillon,21,36,58.33,,720,30,97.96
30,01-06-2002,West Indies,Queen's Park Oval,No,c B C Lara b M V Dillon,0,1,0,,720,28.8,97.83
31,02-06-2002,West Indies,Queen's Park Oval,No,c C H Gayle b M V Dillon,32,32,100,,752,28.92,97.92
32,29-06-2002,England,Lord's,No,c M E Trescothick b A F Giles,71,65,109.23,,823,30.48,98.8
33,30-06-2002,Sri Lanka,Kennington Oval,No,c S T Jayasuriya b W P U J C Vaas,12,20,60,,835,29.82,97.89
34,04-07-2002,England,Riverside Ground,Yes,c M E Trescothick b R J Kirtley,16,19,84.21,,851,29.34,97.59
35,06-07-2002,Sri Lanka,Edgbaston,No,b W P U J C Vaas,0,1,0,,851,28.37,97.48
36,09-07-2002,England,Kennington Oval,No,c †A J Stewart b R C Irani,46,41,112.2,,897,28.94,98.14
37,11-07-2002,Sri Lanka,County Ground (Bristol),Yes,run out,39,40,97.5,,936,29.25,98.11
38,13-07-2002,England,Lord's,No,b A F Giles,45,49,91.84,,981,29.73,97.81
39,14-09-2002,Zimbabwe,R Premadasa Stadium,No,c †A Flower b S M Ervine,48,36,133.33,,1029,30.26,99.04
40,22-09-2002,England,R Premadasa Stadium,Yes,c & b I D Blackwell,126,104,121.15,,1155,33,101.05
